Year,Total population,Male,Female,Below Age 15,Age 15-24,Age 25-34,Age 35-44,Age 45-54,Age 55-64,Age 65 and above,Annual growth rate,Non-resident workers total,Chinese mainland,Philippines,Vietnam,Construction,"Hotels, Restaurants & Similar Activities","Recreational, Cultural, Gaming & Other Services",New arrivals from Chinese mainland with one-way permit,Crude birth rate,Crude mortality rate,Rate of natural increase,Population density,Macao Peninsula a,Taipa a,Coloane a
1999.0,429.6,206.2,223.4,102.6,58.9,71.2,93.1,52.8,20.9,30.1,1.0,32183.0,,,,,,,4984.0,9.7,3.2,6.5,18.0,,,
2000.0,431.5,207.2,224.3,99.0,61.4,68.6,92.4,57.5,22.0,30.5,0.4,27221.0,,,,,,,2919.0,8.9,3.1,5.8,17.0,,,
2001.0,436.3,209.3,227.0,92.9,66.1,66.5,90.5,64.1,24.4,31.8,1.1,25925.0,,,,,,,4621.0,7.5,3.1,4.4,16.8,,,
2002.0,440.5,211.1,229.4,88.5,69.8,65.3,88.0,69.4,26.8,32.7,1.0,23460.0,,,,,,,3110.0,7.2,3.2,4.0,16.4,,,
2003.0,446.7,214.6,232.1,84.0,74.0,65.2,86.1,74.4,29.6,33.4,1.4,24970.0,,,,1715.0,2556.0,1804.0,2451.0,7.2,3.3,3.9,16.2,,,
2004.0,462.6,221.7,241.0,80.6,80.7,66.9,86.7,79.7,33.6,34.4,3.5,27736.0,,,,1850.0,2778.0,2858.0,6885.0,7.3,3.4,3.9,16.5,,,
2005.0,484.3,233.5,250.7,77.8,88.1,70.8,89.0,85.4,37.8,35.3,4.6,39411.0,,,,5012.0,5007.0,5968.0,3335.0,7.8,3.4,4.3,16.8,,,
2006.0,509.9,250.5,259.4,75.3,94.3,77.7,93.5,91.4,42.0,35.6,5.1,64673.0,,,,7421.0,7601.0,20752.0,2800.0,8.1,3.1,5.0,17.4,,,
2007.0,531.8,262.5,269.3,72.7,96.4,84.4,96.9,98.1,47.0,36.4,4.2,85207.0,,,,11530.0,12703.0,25305.0,2221.0,8.7,3.0,5.7,17.8,48.2,10.1,0.5
2008.0,543.1,265.6,277.5,70.5,95.9,87.5,97.2,103.1,51.7,37.3,2.1,92161.0,51950.0,11806.0,5877.0,15783.0,18025.0,14750.0,2280.0,8.7,3.2,5.5,18.5,49.6,10.7,0.5
2009.0,533.3,255.9,277.3,68.9,89.8,83.7,92.0,103.8,56.4,38.7,-1.8,74905.0,41461.0,10788.0,6562.0,7820.0,16099.0,10016.0,3121.0,8.9,3.1,5.8,18.1,49.5,10.7,0.5
2010.0,540.6,258.5,282.1,67.0,86.0,88.6,92.9,104.6,61.6,39.9,1.4,75813.0,41895.0,11423.0,7462.0,5009.0,16771.0,11998.0,9056.0,9.5,3.3,6.2,18.1,49.1,11.1,0.5
2011.0,557.4,268.0,289.3,66.0,92.8,101.4,90.3,99.7,66.2,40.9,3.1,94028.0,55373.0,13375.0,8116.0,11757.0,27105.0,11396.0,6223.0,10.6,3.4,7.3,18.4,50.1,10.6,0.6
2012.0,582.0,280.3,301.7,67.4,89.3,113.4,93.6,101.8,71.9,44.6,4.3,110552.0,66845.0,16297.0,10176.0,15377.0,34020.0,11159.0,4060.0,12.9,3.2,9.6,19.0,51.9,11.1,0.6
2013.0,607.5,295.2,312.3,68.8,84.3,124.9,97.3,105.7,77.8,48.7,4.3,137838.0,87103.0,18847.0,12301.0,26219.0,38943.0,12943.0,3338.0,11.1,3.2,7.9,19.5,53.4,11.6,0.9
2014.0,636.2,314.0,322.2,72.6,78.9,135.5,103.4,110.3,81.9,53.6,4.6,170346.0,110670.0,21549.0,13533.0,45753.0,42622.0,13863.0,5889.0,11.8,3.1,8.7,20.5,54.9,12.7,1.8
2015.0,646.8,317.0,329.8,76.9,76.5,138.0,103.4,108.9,85.0,58.1,1.6,181646.0,116383.0,24728.0,14727.0,43480.0,48099.0,13933.0,8468.0,11.0,3.1,7.9,21.1,55.9,13.4,2.6
2016.0,644.9,305.5,339.4,80.4,73.8,133.6,100.8,105.0,87.9,63.4,-0.3,177638.0,113417.0,26700.0,14807.0,34612.0,49989.0,13338.0,6327.0,11.0,3.4,7.5,21.4,56.1,13.6,3.5
2017.0,653.1,307.0,346.1,84.5,75.4,129.9,102.1,101.6,92.1,67.5,1.3,179456.0,113208.0,28688.0,14920.0,30174.0,51169.0,13815.0,4206.0,10.1,3.3,6.8,21.1,55.6,12.9,3.6
2018.0,667.4,312.8,354.6,88.7,76.4,131.3,104.9,100.0,94.8,71.3,2.2,188480.0,117869.0,31545.0,15119.0,30128.0,53063.0,14830.0,3532.0,9.0,3.1,5.9,20.0,56.3,13.3,3.9
2019.0,679.6,317.4,362.2,92.3,77.4,130.8,110.9,98.6,94.5,75.1,1.8,196538.0,122357.0,33781.0,14804.0,29387.0,54748.0,15807.0,3757.0,8.9,3.4,5.5,20.4,57.1,13.7,4.2
2020.0,683.1,319.8,363.3,96.3,73.5,127.9,113.4,97.1,95.2,79.7,0.5,177663.0,112217.0,31228.0,12491.0,26984.0,44555.0,13957.0,2973.0,8.1,3.3,4.8,20.8,57.9,14.1,4.5
2021.0,683.2,321.0,362.2,99.4,70.8,124.7,114.6,96.5,94.0,83.2,0.05,171098.0,115498.0,27695.0,10147.0,30362.0,42273.0,11401.0,2627.0,7.4,3.4,4.0,20.7,57.4,14.2,4.7
2022.0,672.8,315.1,357.7,94.7,70.6,114.9,117.3,94.0,91.9,89.4,-1.5,154912.0,108309.0,24278.0,7523.0,29297.0,36992.0,8547.0,2303.0,6.4,4.4,2.0,20.3,56.6,14.3,4.9
2023.0,683.7,318.9,364.8,90.1,72.6,114.2,126.3,94.4,90.5,95.6,1.6,176661.0,121034.0,28795.0,7790.0,30209.0,49387.0,9954.0,3417.0,5.5,4.4,1.1,20.4,56.4,14.6,5.1
