Age Group,M_1999,F_1999,M_2000,F_2000,M_2001,F_2001,M_2002,F_2002,M_2003,F_2003,M_2004,F_2004,M_2005,F_2005,M_2006,F_2006,M_2007,F_2007,M_2008,F_2008,M_2009,F_2009,M_2010,F_2010,M_2011,F_2011,M_2012,F_2012,M_2013,F_2013,M_2014,F_2014,M_2015,F_2015,M_2016,F_2016,M_2017,F_2017,M_2018,F_2018,M_2019,F_2019,M_2020,F_2020,M_2021,F_2021,M_2022,F_2022,M_2023,F_2023,M_2024,F_2024
0–4,13.1,12.2,12.4,11.4,10.5,9.7,9.5,8.9,8.9,8.3,8.6,7.8,8.5,7.8,8.8,8.0,9.5,8.6,10.3,9.4,11.2,10.2,12.1,11.1,12.0,11.0,13.7,12.3,14.8,13.3,16.3,14.7,17.7,16.0,18.6,16.8,18.2,16.6,18.3,16.7,17.2,15.8,16.1,14.9,16.4,15.5,14.3,12.8,12.5,11.6,11.3,10.2
5–9,18.8,17.1,17.5,16.1,16.6,15.2,15.8,14.4,14.8,13.5,14.0,12.8,13.0,11.9,12.0,11.1,10.8,10.1,10.1,9.4,9.5,8.8,8.9,8.3,9.5,8.8,9.7,9.0,10.3,9.4,11.2,10.0,12.1,11.0,12.8,11.6,14.2,12.7,16.0,14.4,17.2,15.6,18.5,16.7,20.4,18.2,19.6,17.7,18.0,16.8,16.9,15.5
10–14,21.4,20.0,20.9,20.0,21.0,19.8,20.5,19.4,19.8,18.6,19.3,18.1,18.8,17.8,18.1,17.3,17.3,16.2,16.3,15.0,15.1,14.1,13.8,12.8,12.8,11.9,11.7,11.0,11.0,10.0,10.7,9.7,10.7,9.4,11.0,9.6,11.3,10.0,11.9,10.8,12.5,11.2,13.0,11.7,14.9,14.0,15.7,14.6,16.4,14.8,16.8,15.2
15–19,14.9,15.1,17.4,17.7,18.5,18.3,20.2,19.7,21.4,20.8,23.1,22.4,23.9,23.5,23.9,23.4,22.9,22.0,21.6,20.8,20.1,19.1,19.3,18.3,18.9,18.7,17.7,17.3,16.7,15.7,16.0,14.7,15.2,14.1,14.4,13.5,13.6,12.7,13.7,13.4,13.2,12.9,13.1,12.9,14.8,15.0,15.6,15.5,16.2,16.0,17.2,17.7
20–24,11.4,17.5,12.6,16.6,12.4,16.8,13.1,16.9,14.5,17.4,16.4,18.8,19.4,21.4,22.7,24.5,25.2,27.3,26.4,28.1,25,25.5,24.4,24.0,26.7,28.6,26.4,27.9,25.4,26.5,24.3,23.9,23.6,23.6,22.1,23.8,21.6,23.2,21.7,22.8,22.4,23.4,21.3,21.8,19.6,21.4,18.7,20.8,19.2,21.2,18.4,19.9
25–29,14.8,20.0,14.2,20.0,13.6,17.8,13.2,16.8,13.3,16.5,13.6,16.9,15.1,17.7,18.1,19.2,20.2,21.7,21.0,23.5,20.5,23.6,22.0,24.9,27.5,30.2,30.3,33.4,33.3,35.9,35.8,37.3,35.1,36.1,30.7,34.3,28.5,31.9,26.8,28.9,24.9,26.3,23.8,24.4,25.6,28.4,23.4,25.3,23.4,24.6,22.4,22.7
30–34,15.2,21.2,14.2,22.1,14.5,20.6,14.5,20.7,14.9,20.6,15.4,21.0,16.7,21.2,19.5,21.8,21.0,22.6,20.8,22.4,18.4,21.3,19.2,22.4,21.4,22.4,24.4,25.3,27.4,28.3,31.3,31.1,33.0,33.8,31.7,36.9,32.3,38.7,33.1,40.1,33.6,40.5,33.3,38.3,33.2,37.5,30.9,35.3,30.6,35.6,28.8,33.9
35–39,22.0,25.2,18.3,24.2,19.3,24.9,17.4,23.5,16.1,22.3,15.7,22.5,16.7,23.0,19.9,24.3,22.1,26.1,22.5,26.7,20.1,25.6,19.9,25.7,20.5,24.0,21.0,23.6,22.4,23.5,24.9,24.8,25.3,25.5,24.4,27.0,25.8,29.4,27.1,32.1,28.5,34.6,29.8,36.6,30.8,34.6,30.9,35.4,33.0,38.2,33.7,39.4
40–44,23.6,22.2,22.1,23.6,23.0,23.4,22.8,24.3,22.6,25.2,22.2,26.3,22.2,27.0,23.3,27.0,23.1,26.8,21.9,26.8,19.1,27.2,19.2,28.0,19.7,26.1,21.5,27.5,23.2,28.2,25.4,28.3,24.9,27.7,21.9,27.5,20.9,26.7,21.2,26.3,22.0,27.7,22.4,27.9,22.7,26.5,23.4,27.6,25.2,29.9,26.6,32.2
45–49,16.1,15.3,18.4,17.2,19.9,18.4,21.5,20.2,22.8,21.7,23.7,23.1,24.6,24.2,26.1,25.0,27.1,26.4,27.3,28.1,24.9,29.4,23.9,30.0,22.5,28.5,21.7,28.5,22.0,28.6,23.6,28.7,23.1,28.7,21.6,29.7,21.4,30.1,21.3,29.9,21.5,29.5,21.2,28.6,21.4,28.3,20.2,26.6,20.2,26.4,20.5,27.3
50–54,11.9,9.4,12.9,10.8,13.8,12.0,14.7,13.0,15.7,14.1,17.2,15.7,19.3,17.4,22.0,19.0,24.7,21.0,26.3,22.9,25.3,24.3,25.2,25.4,24.0,24.7,25.1,26.5,26.5,28.6,27.6,30.4,26.1,31.0,23.0,30.7,20.7,29.5,19.8,28.8,19.0,28.4,19.0,28.4,18.7,28.1,19.1,28.1,19.8,28,20.3,29.3
55–59,5.7,5.3,6.8,5.9,7.7,6.7,8.9,7.7,10.3,8.7,12,10.1,13.2,11.3,14.4,12.5,15.6,13.9,16.6,15.2,17.5,16.3,19.1,17.7,20.1,19.4,21.9,21.4,23.8,23,24.5,23.8,24.1,24.5,23.7,25.3,24.4,27.1,24.5,28.5,24.4,29.9,23.3,30.4,20.3,27.8,18.5,26.8,17.0,26.3,17.1,27
60–64,5.1,4.9,5.2,4.6,5.2,4.8,5.3,4.9,5.5,5.1,6.0,5.6,6.8,6.4,8.0,7.4,9.6,8.3,11.0,9.4,12.1,10.5,13.2,11.6,13.9,12.7,14.6,14.0,15.6,15.4,16.8,16.8,18.4,18.0,19.3,19.6,21.1,21.6,22.3,22.9,22.9,23.7,23.0,24.4,21.9,24.0,21.7,24.9,21.6,25.6,21.0,26.8
65–69,4.5,5.7,4.5,5.1,4.6,5.3,4.6,5.2,4.7,5.0,4.8,4.8,5.0,4.7,5.1,4.6,5.3,4.8,5.6,5.1,6.1,5.6,6.7,6.3,7.3,6.7,8.5,7.7,10.2,9.1,11.8,10.3,12.6,11.6,13.5,12.9,14.2,14.1,14.6,15.3,15.7,16.7,17.3,18.0,17.6,18.0,18.5,19.6,19.9,21.0,20.4,21.7
70–74,3.5,5.0,4.0,5.5,3.9,5.2,3.9,5.2,3.9,5.2,3.9,5.3,4.0,5.3,4.0,5.2,4.2,5.1,4.3,5.0,4.3,4.6,4.4,4.3,4.3,4.4,4.5,4.5,4.8,4.6,5.4,5.0,6.1,5.7,7.1,6.7,8.3,7.8,9.5,9.1,11.0,10.7,12.2,12.0,11.5,11.0,12.7,12.2,12.8,13.4,13.2,14.4
75+,4.3,7.2,5.7,10.1,5.0,8.3,5.2,8.6,5.5,9.1,5.9,9.6,6.3,10.1,6.6,10.6,7.2,11.3,7.6,11.9,7.0,11.1,7.1,11.1,6.9,11.3,7.6,11.8,7.8,12.2,8.4,12.7,9.0,13.1,9.7,13.5,10.5,14.0,11.0,14.6,11.4,15.3,12.5,16.3,11.2,13.9,11.9,14.5,13.1,15.4,14.1,16.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
