Age Group,M_1999,F_1999,M_2000,F_2000,M_2001,F_2001,M_2002,F_2002,M_2003,F_2003,M_2004,F_2004,M_2005,F_2005,M_2006,F_2006,M_2007,F_2007,M_2008,F_2008,M_2009,F_2009,M_2010,F_2010,M_2011,F_2011,M_2012,F_2012,M_2013,F_2013,M_2014,F_2014,M_2015,F_2015,M_2016,F_2016,M_2017,F_2017,M_2018,F_2018,M_2019,F_2019,M_2020,F_2020,M_2021,F_2021,M_2022,F_2022,M_2023,F_2023,M_2024,F_2024
0–4,6.3,5.5,6,4.9,5,4.3,4.5,3.9,4.1,3.6,3.9,3.2,3.6,3.1,3.5,3.1,3.6,3.2,3.8,3.4,4.4,3.7,4.7,3.9,4.5,3.8,4.9,4.1,5,4.3,5.2,4.6,5.6,4.9,6.1,4.9,5.9,4.8,5.9,4.7,5.4,4.4,5,4.1,5.1,4.3,4.5,3.6,3.9,3.2,3.5,2.8
5–9,9.1,7.7,8.5,7,7.9,6.7,7.5,6.3,6.9,5.8,6.3,5.3,5.6,4.7,4.8,4.3,4.1,3.7,3.7,3.4,3.7,3.2,3.4,2.9,3.5,3,3.5,3,3.5,3,3.6,3.1,3.8,3.3,4.2,3.4,4.6,3.7,5.1,4.1,5.4,4.3,5.8,4.6,6.4,5,6.2,4.9,5.6,4.6,5.3,4.2
10–14,10.4,9,10.1,8.7,10,8.7,9.7,8.5,9.2,8,8.7,7.5,8.1,7.1,7.2,6.6,6.5,6,6,5.4,5.9,5.1,5.3,4.5,4.8,4.1,4.2,3.6,3.7,3.2,3.4,3,3.4,2.9,3.6,2.8,3.7,2.9,3.8,3,3.9,3.1,4.1,3.2,4.6,3.9,5,4.1,5.1,4.1,5.3,4.1
15–19,7.2,6.8,8.4,7.7,8.8,8.1,9.6,8.6,10,9,10.4,9.3,10.2,9.4,9.5,9,8.6,8.1,8,7.4,7.8,6.9,7.5,6.5,7.1,6.5,6.3,5.7,5.7,5,5.1,4.6,4.8,4.3,4.7,4,4.4,3.7,4.4,3.8,4.2,3.6,4.1,3.6,4.6,4.1,5,4.3,5.1,4.4,5.4,4.8
20–24,5.5,7.8,6.1,7.2,5.9,7.4,6.2,7.4,6.8,7.5,7.4,7.8,8.3,8.5,9,9.4,9.5,10,9.8,10,9.8,9.2,9.4,8.5,10,9.9,9.4,9.2,8.6,8.5,7.7,7.4,7.4,7.2,7.2,7,7,6.7,6.9,6.4,7.1,6.5,6.7,6,6.1,5.9,5.9,5.8,6,5.8,5.8,5.4
25–29,7.2,9,6.9,8.7,6.5,7.8,6.3,7.3,6.2,7.1,6.1,7,6.5,7.1,7.2,7.4,7.6,8,7.8,8.4,8,8.5,8.5,8.8,10.3,10.4,10.8,11.1,11.3,11.5,11.4,11.6,11.1,10.9,10,10.1,9.3,9.2,8.6,8.2,7.8,7.3,7.4,6.7,8,7.8,7.4,7.1,7.3,6.7,7,6.1
30–34,7.4,9.5,6.9,9.6,6.9,9.1,6.9,9,6.9,8.9,6.9,8.7,7.2,8.5,7.7,8.4,7.9,8.3,7.7,8,7.2,7.7,7.4,7.9,8,7.7,8.7,8.4,9.3,9.1,10,9.7,10.4,10.2,10.4,10.9,10.5,11.2,10.6,11.3,10.6,11.2,10.4,10.5,10.3,10.4,9.8,9.9,9.6,9.8,9,9.2
35–39,10.7,11.3,8.8,10.5,9.2,11,8.2,10.2,7.5,9.6,7.1,9.3,7.2,9.2,7.9,9.3,8.3,9.6,8.3,9.5,7.8,9.2,7.7,9.1,7.6,8.3,7.5,7.8,7.6,7.5,7.9,7.7,8,7.7,8,8,8.4,8.5,8.7,9.1,9,9.6,9.3,10.1,9.6,9.6,9.8,9.9,10.3,10.5,10.6,10.7
40–44,11.4,9.9,10.7,10.2,11,10.3,10.8,10.6,10.5,10.9,10,10.9,9.5,10.8,9.2,10.3,8.7,9.8,8.1,9.6,7.5,9.8,7.4,9.9,7.4,9,7.7,9.1,7.9,9,8.1,8.8,7.9,8.4,7.2,8.1,6.8,7.7,6.8,7.4,6.9,7.6,7,7.7,7.1,7.3,7.4,7.7,7.9,8.2,8.3,8.7
45–49,7.8,6.9,8.9,7.4,9.5,8.1,10.2,8.8,10.6,9.3,10.7,9.6,10.5,9.7,10.3,9.6,10.2,9.7,10.1,10,9.7,10.6,9.2,10.6,8.4,9.8,7.7,9.4,7.5,9.2,7.5,8.9,7.3,8.7,7.1,8.8,7,8.7,6.8,8.4,6.8,8.1,6.6,7.9,6.7,7.8,6.4,7.4,6.3,7.2,6.4,7.4
50–54,5.8,4.2,6.2,4.7,6.6,5.3,7,5.7,7.3,6.1,7.8,6.5,8.3,6.9,8.7,7.3,9.3,7.7,9.8,8.2,9.9,8.8,9.8,9,9,8.5,9,8.8,9,9.2,8.8,9.4,8.2,9.4,7.5,9,6.7,8.5,6.3,8.1,6,7.8,5.9,7.8,5.8,7.8,6.1,7.9,6.2,7.7,6.4,7.9
55–59,2.8,2.4,3.3,2.6,3.7,2.9,4.2,3.4,4.8,3.7,5.4,4.2,5.7,4.5,5.7,4.8,5.9,5.1,6.2,5.4,6.8,5.9,7.4,6.3,7.5,6.7,7.8,7.1,8.1,7.4,7.8,7.4,7.6,7.4,7.8,7.5,7.9,7.8,7.8,8,7.7,8.3,7.3,8.4,6.3,7.7,5.9,7.5,5.3,7.2,5.4,7.3
60–64,2.5,2.2,2.5,2,2.5,2.1,2.5,2.1,2.6,2.2,2.7,2.3,2.9,2.6,3.2,2.8,3.6,3,4.1,3.4,4.7,3.8,5.1,4.1,5.2,4.4,5.2,4.6,5.3,4.9,5.4,5.2,5.8,5.5,6.3,5.8,6.9,6.2,7.1,6.5,7.2,6.5,7.2,6.7,6.8,6.6,6.9,7,6.8,7,6.6,7.3
